file,line,terms,text
unit_tests/test_utils_orders.py,15,"Game(,pydipcc.Game",        game = pydipcc.Game()
unit_tests/test_utils_game.py,17,Game(,class TestUtilsGame(unittest.TestCase):
unit_tests/test_utils_game.py,19,"Game(,pydipcc.Game",        game = pydipcc.Game()
unit_tests/test_utils_game.py,20,add_message,"        game.add_message(""ITALY"", ""AUSTRIA"", ""hi there"", Timestamp.from_centis(12345))"
unit_tests/test_sleep.py,24,Game(,        game = Game()
unit_tests/test_sleep.py,25,add_message,"        game.add_message(""ENGLAND"", ""FRANCE"", ""test"", Timestamp.from_seconds(1))"
unit_tests/test_sleep.py,31,Game(,        game = Game()
unit_tests/test_sleep.py,32,add_message,"        game.add_message(""ENGLAND"", ""FRANCE"", ""test"", Timestamp.from_seconds(1))"
unit_tests/test_sleep.py,33,add_message,"        game.add_message(""GERMANY"", ""FRANCE"", ""test"", Timestamp.from_seconds(2))"
unit_tests/test_sleep.py,34,add_message,"        game.add_message(""FRANCE"", ""GERMANY"", ""test"", Timestamp.from_seconds(3))"
unit_tests/test_sleep.py,54,Game(,        game = Game()
unit_tests/test_sleep.py,64,add_message,"            game.add_message(power, recipient, ""blah"", Timestamp(0), increment_on_collision=True)"
unit_tests/test_sleep.py,76,Game(,        game = Game()
unit_tests/test_sleep.py,77,add_message,"        game.add_message(sender, recipient, ""message 1"", Timestamp(1), increment_on_collision=True)"
unit_tests/test_sleep.py,78,add_message,"        game.add_message(sender, recipient, ""message 2"", Timestamp(1), increment_on_collision=True)"
unit_tests/test_sleep.py,79,add_message,"        game.add_message(sender, recipient, ""message 3"", Timestamp(1), increment_on_collision=True)"
unit_tests/test_sleep.py,86,add_message,"        game.add_message(sender, recipient, ""message 4"", Timestamp(1), increment_on_collision=True)"
unit_tests/test_sleep.py,99,add_message,        game.add_message(
unit_tests/test_sleep.py,111,Game(,        game = Game()
unit_tests/test_sleep.py,126,Game(,        game = Game()
unit_tests/test_sleep.py,142,Game(,        game = Game()
unit_tests/test_sleep.py,158,Game(,        game = Game()
unit_tests/test_sleep.py,174,Game(,        game = Game()
unit_tests/test_sleep.py,190,Game(,        game = Game()
unit_tests/test_sleep.py,191,set_orders,"        game.set_orders(""AUSTRIA"", (""F TRI - ADR"",))"
unit_tests/test_sleep.py,192,process,        game.process()
unit_tests/test_sleep.py,221,Game(,        game = Game()
unit_tests/test_sleep.py,222,set_orders,"        game.set_orders(""GERMANY"", (""A MUN - TYR"",))"
unit_tests/test_sleep.py,223,process,        game.process()
unit_tests/test_sleep.py,237,Game(,        game = Game()
unit_tests/test_sleep.py,238,process,        game.process()
unit_tests/test_sleep.py,254,Game(,        game = Game()
unit_tests/test_sleep.py,255,set_orders,"        game.set_orders(""GERMANY"", (""A MUN - BOH"",))"
unit_tests/test_sleep.py,256,set_orders,"        game.set_orders(""ITALY"", (""A VEN - TYR"",))"
unit_tests/test_sleep.py,257,process,        game.process()
unit_tests/test_sleep.py,271,Game(,        game = Game()
