file,line,keywords,text
avalonbench_dev/avalon/engine.py,10,quest,        QUEST_PRESET:
avalonbench_dev/avalon/engine.py,11,quest,            - Detail: Presets for each quest under various game settings (number of players)
avalonbench_dev/avalon/engine.py,12,"quest,fail","            - Typing: Dict[num_players: List[List[num_good, num_evil], List[num_players_for_quest], List[num_fails_for_quest]]]"
avalonbench_dev/avalon/engine.py,14,phase,        PHASES: Map from id to different phases
avalonbench_dev/avalon/engine.py,15,role,        ROLES: Map from id to different roles
avalonbench_dev/avalon/engine.py,18,Merlin,        merlin (bool): Whether Merlin is in the game
avalonbench_dev/avalon/engine.py,27,quest,        num_players_for_quest (list): Number of players for each quest
avalonbench_dev/avalon/engine.py,28,"quest,fail",        num_fails_for_quest (list): Number of rejects required for the failure of each quest
avalonbench_dev/avalon/engine.py,37,quest,"    QUEST_PRESET: ClassVar =   {5 : [[3,2] , [2,3,2,3,3], [1,1,1,1,1], ] , "
avalonbench_dev/avalon/engine.py,45,"Assassin,team,quest,phase","    PHASES: ClassVar = {0 : ""Team Selection"", 1 : ""Team Voting"", 2 : ""Quest Voting"", 3 : ""Assassination""}"
avalonbench_dev/avalon/engine.py,46,"Merlin,Minion,Assassin,Servant,role","    ROLES: ClassVar = {0 : ""Merlin"", 1 : ""Percival"", 2 : ""Morgana"", 3 : ""Mordred"", 4 : ""Oberon"", 5 : ""Servant"", 6 : ""Minion"", 7 : ""Assassin""}"
avalonbench_dev/avalon/engine.py,47,role,"    ROLES_REVERSE: ClassVar = {v: k for k, v in ROLES.items()}"
avalonbench_dev/avalon/engine.py,49,Merlin,    merlin: bool = True
avalonbench_dev/avalon/engine.py,58,quest,    num_players_for_quest: list
avalonbench_dev/avalon/engine.py,59,"quest,fail",    num_fails_for_quest: list
avalonbench_dev/avalon/engine.py,66,quest,        num_evil = cls.QUEST_PRESET[num_players][0][1]
avalonbench_dev/avalon/engine.py,68,quest,        num_players_for_quest = cls.QUEST_PRESET[num_players][1]
avalonbench_dev/avalon/engine.py,69,"quest,fail",        num_fails_for_quest = cls.QUEST_PRESET[num_players][2]
avalonbench_dev/avalon/engine.py,75,quest,"            num_players_for_quest=num_players_for_quest,"
avalonbench_dev/avalon/engine.py,76,"quest,fail","            num_fails_for_quest=num_fails_for_quest,"
avalonbench_dev/avalon/engine.py,85,quest,        num_evil = cls.QUEST_PRESET[num_players][0][1]
avalonbench_dev/avalon/engine.py,87,quest,        num_players_for_quest = cls.QUEST_PRESET[num_players][1]
avalonbench_dev/avalon/engine.py,88,"quest,fail",        num_fails_for_quest = cls.QUEST_PRESET[num_players][2]
avalonbench_dev/avalon/engine.py,94,quest,"            num_players_for_quest=num_players_for_quest,"
avalonbench_dev/avalon/engine.py,95,"quest,fail","            num_fails_for_quest=num_fails_for_quest,"
avalonbench_dev/avalon/engine.py,105,role,"    2. Call the class method :method:`from_presets` to instantiate the environment with game presets, which includes role information"
avalonbench_dev/avalon/engine.py,108,role,    - role_names (List[str]): List of role names for each player
avalonbench_dev/avalon/engine.py,110,quest,    - quest_leader (int): The id of the quest leader
avalonbench_dev/avalon/engine.py,139,quest,        quest_leader = presets['quest_leader']
avalonbench_dev/avalon/engine.py,140,role,        role_names = presets['role_names']
avalonbench_dev/avalon/engine.py,141,role,        role_ids = [config.ROLES_REVERSE[role_name] for role_name in role_names]
avalonbench_dev/avalon/engine.py,144,role,"        for idx, role in enumerate(role_names):"
avalonbench_dev/avalon/engine.py,145,"Minion,Assassin,role","            if role in [""Morgana"", ""Mordred"", ""Oberon"", ""Minion"", ""Assassin""]:"
avalonbench_dev/avalon/engine.py,148,role,        cls.roles = np.array(role_ids)
avalonbench_dev/avalon/engine.py,149,role,        cls.role_names = role_names
avalonbench_dev/avalon/engine.py,151,quest,        cls.quest_leader = quest_leader
avalonbench_dev/avalon/engine.py,154,quest,        cls.quest = 0
avalonbench_dev/avalon/engine.py,155,phase,        cls.phase = 0
avalonbench_dev/avalon/engine.py,160,quest,        cls.quest_results = []
avalonbench_dev/avalon/engine.py,161,"team,quest",        cls.quest_team = []
avalonbench_dev/avalon/engine.py,162,"team,vote",        cls.team_votes = []
avalonbench_dev/avalon/engine.py,163,"vote,quest",        cls.quest_votes = []
avalonbench_dev/avalon/engine.py,175,quest,        self.quest = 0
avalonbench_dev/avalon/engine.py,176,phase,        self.phase = 0
avalonbench_dev/avalon/engine.py,180,quest,"        self.quest_leader = np.random.randint(0, self.num_players - 1)"
avalonbench_dev/avalon/engine.py,182,quest,        self.quest_results = []
avalonbench_dev/avalon/engine.py,183,"team,quest",        self.quest_team = []
avalonbench_dev/avalon/engine.py,184,"team,vote",        self.team_votes = []
avalonbench_dev/avalon/engine.py,185,"vote,quest",        self.quest_votes = []
avalonbench_dev/avalon/engine.py,187,role,        # reassign roles
avalonbench_dev/avalon/engine.py,188,role,        return self.assign_roles()
avalonbench_dev/avalon/engine.py,190,role,    def assign_roles(self):
avalonbench_dev/avalon/engine.py,192,role,        assigns roles to players
avalonbench_dev/avalon/engine.py,194,role,"        self.roles = np.full(self.num_players, 5)"
avalonbench_dev/avalon/engine.py,201,role,        # create evil roles
avalonbench_dev/avalon/engine.py,202,role,        evil_roles = [7]
avalonbench_dev/avalon/engine.py,204,role,            evil_roles.append(2)
avalonbench_dev/avalon/engine.py,206,role,            evil_roles.append(3)
avalonbench_dev/avalon/engine.py,208,role,            evil_roles.append(4)
avalonbench_dev/avalon/engine.py,210,role,        # fill rest of evil roles with 6
avalonbench_dev/avalon/engine.py,211,role,        evil_roles += [6] * (self.num_evil - len(evil_roles))
avalonbench_dev/avalon/engine.py,213,role,        # assign evil roles randomly
avalonbench_dev/avalon/engine.py,214,role,"        self.roles[evil_players] = np.random.choice(evil_roles, self.num_evil, replace = False)"
avalonbench_dev/avalon/engine.py,216,role,        # create good roles
avalonbench_dev/avalon/engine.py,217,role,        good_roles = []
avalonbench_dev/avalon/engine.py,218,Merlin,        if self.merlin:
