outer_generate_message_call_id,message_event_sequence,message_time_unix,sender,recipient,phase,final_message,time_sent,dialogue_call_id,dialogue_result_sequence,dialogue_input_sequence,dialogue_input_time_unix,dialogue_output_match_strength,dialogue_output_match_mode,dialogue_task,task_exact_match,input_sha256,input_bytes,planner_pair_mode,planner_event_sequence,planner_call_id,planner_time_unix,planner_to_input_lag_seconds,agent_top_orders,agent_top_probability,bp_top_orders,bp_top_probability,agent_bp_top_disagree,observer_parse_ok,observer_parse_reason,observer_source_line,observer_source_line_number,observer_orders,observer_exact_planner_top_match,observer_planner_order_jaccard,observer_exact_bp_top_match,planner_top_all_orders_visible_anywhere_in_input,planner_top_all_orders_literal_in_final_message,future_final_message_found_in_input,exact_input_path
generate_message-208111-1,11,1786809021.0405421,ITALY,AUSTRIA,S1901M,Hey Austria! Just wanted to check in and let you know I'm interested in working together. Do you have any preferences as to how we start?,60201,dialogue_model_get_model_pred-208111-8,10,9,1786809019.9945128,2,message_substring_of_model_output,message_history_orderhistorysincelastmovementphase_shortstate_pseudoorder_dialogue_chunk,True,1bb411d13feb43aec74db3a64bcde95a847093e2ffed296606734a163d0ff554,1105,exact_sender_recipient_phase_before_input,3,run_bilateral_search_with_conditional_evs-208111-2,1786809016.0295782,3.9649345874786377,A ROM - APU | A VEN H | F NAP - ION,0.48836307231417025,A ROM - APU | A VEN H | F NAP - ION,0.3122514439329085,False,True,first_sender_order_line_after_state,ITALY: A ROM APU; A VEN H; F NAP ION,11,A ROM APU | A VEN H | F NAP ION,True,1.0,True,True,False,False,/workspace/latent-reservations/notebook_outputs/17_cicero_exact_dialogue_input_visibility/20260815T154340Z/data/exact_dialogue_inputs/episode_0000_ITALY_AUSTRIA_1bb411d13feb43ae.txt
generate_message-208111-9,21,1786809029.3714764,ITALY,GERMANY,S1901M,Hey Germany! Just wanted to check in and let you know I'm interested in working together. Would you like to agree to keep Tyrolia empty?,71093,dialogue_model_get_model_pred-208111-16,20,19,1786809028.2479188,2,message_substring_of_model_output,message_history_orderhistorysincelastmovementphase_shortstate_pseudoorder_dialogue_chunk,True,f030ef06cb9f10ac0ea0806a59ee8ff239b5da4cd0ca1f95910c9ac8182316dd,789,exact_sender_recipient_phase_before_input,16,run_bilateral_search_with_conditional_evs-208111-13,1786809024.65858,3.589338779449463,A ROM - APU | A VEN H | F NAP - ION,0.5063117607831636,A ROM - APU | A VEN H | F NAP - ION,0.3122514439329085,False,True,first_sender_order_line_after_state,ITALY: A ROM APU; A VEN H; F NAP ION,10,A ROM APU | A VEN H | F NAP ION,True,1.0,True,True,False,False,/workspace/latent-reservations/notebook_outputs/17_cicero_exact_dialogue_input_visibility/20260815T154340Z/data/exact_dialogue_inputs/episode_0001_ITALY_GERMANY_f030ef06cb9f10ac.txt
generate_message-208111-17,31,1786809043.9402447,FRANCE,GERMANY,S1901M,"Hey Germany! Just checking in to see what your thoughts on Burgundy are, and what your thoughts are on Belgium!",75101,dialogue_model_get_model_pred-208111-24,30,29,1786809043.0692205,2,message_substring_of_model_output,message_history_orderhistorysincelastmovementphase_shortstate_pseudoorder_dialogue_chunk,True,5be0045cf250b978c145135ae53be604c02a09fee99e908c38fda579b27ed029,1044,exact_sender_recipient_phase_before_input,25,run_bilateral_search_with_conditional_evs-208111-20,1786809039.3661573,3.7030632495880127,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.4178157269496583,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.4777230923442091,False,True,first_sender_order_line_after_state,FRANCE: A MAR S A PAR BUR; A PAR BUR; F BRE MAO,11,A MAR S A PAR BUR | A PAR BUR | F BRE MAO,True,1.0,True,True,False,False,/workspace/latent-reservations/notebook_outputs/17_cicero_exact_dialogue_input_visibility/20260815T154340Z/data/exact_dialogue_inputs/episode_0002_FRANCE_GERMANY_5be0045cf250b978.txt
generate_message-208111-25,45,1786809061.6733224,AUSTRIA,ITALY,S1901M,Hey Italy! I'd love to work together. How would you like to open?,79301,dialogue_model_get_model_pred-208111-34,44,43,1786809060.5420372,2,message_substring_of_model_output,message_history_orderhistorysincelastmovementphase_shortstate_pseudoorder_dialogue_chunk,True,a0efa9c44ac1dba7427257e95c6a22bae815827ec1915803fa45a470c5bdabda,1260,exact_sender_recipient_phase_before_input,36,run_bilateral_search_with_conditional_evs-208111-29,1786809054.2957397,6.246297597885132,A BUD - SER | A VIE - GAL | F TRI - ALB,0.5951421467467956,A BUD - SER | A VIE - GAL | F TRI - ALB,0.6374617018121373,False,True,first_sender_order_line_after_state,AUSTRIA: A BUD SER; A VIE GAL; F TRI ALB,12,A BUD SER | A VIE GAL | F TRI ALB,True,1.0,True,True,False,False,/workspace/latent-reservations/notebook_outputs/17_cicero_exact_dialogue_input_visibility/20260815T154340Z/data/exact_dialogue_inputs/episode_0003_AUSTRIA_ITALY_a0efa9c44ac1dba7.txt
generate_message-208111-35,61,1786809075.0927641,FRANCE,ENGLAND,S1901M,"Hey England! I'm hoping that we can avoid the early war that so often ruins things for both of us, so I'm hoping that we can agree to a demilitarized channel, and we can either go after Germany, or go our separate ways to start the game! What do you think?",80503,dialogue_model_get_model_pred-208111-45,60,59,1786809073.0534012,2,message_substring_of_model_output,message_history_orderhistorysincelastmovementphase_shortstate_pseudoorder_dialogue_chunk,True,224497a34b4810786e56880cdeeb6f00d27b1140134339809f65eb7b93c82a6e,769,exact_sender_recipient_phase_before_input,48,run_bilateral_search_with_conditional_evs-208111-37,1786809065.8484,7.20500111579895,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.6209472901419923,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.4773447961609654,False,True,first_sender_order_line_after_state,FRANCE: A MAR BUR; A PAR PIC; F BRE MAO,10,A MAR BUR | A PAR PIC | F BRE MAO,False,0.2,False,False,False,False,/workspace/latent-reservations/notebook_outputs/17_cicero_exact_dialogue_input_visibility/20260815T154340Z/data/exact_dialogue_inputs/episode_0004_FRANCE_ENGLAND_224497a34b481078.txt
generate_message-208111-46,71,1786809089.9013512,GERMANY,FRANCE,S1901M,"Hey France, happy to hear from you!",81301,dialogue_model_get_model_pred-208111-53,70,69,1786809088.971393,2,message_substring_of_model_output,message_history_orderhistorysincelastmovementphase_shortstate_pseudoorder_dialogue_chunk,True,b668a61ea9cf5d3c6984c81a1b35cf9966460995e53df64dc7a390ea007ba178,1440,exact_sender_recipient_phase_before_input,65,run_bilateral_search_with_conditional_evs-208111-49,1786809085.3576477,3.6137454509735107,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7508346302752265,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7404874957409524,False,True,first_sender_order_line_after_state,GERMANY: A BER KIE; A MUN RUH; F KIE DEN,13,A BER KIE | A MUN RUH | F KIE DEN,True,1.0,True,True,False,False,/workspace/latent-reservations/notebook_outputs/17_cicero_exact_dialogue_input_visibility/20260815T154340Z/data/exact_dialogue_inputs/episode_0005_GERMANY_FRANCE_b668a61ea9cf5d3c.txt
generate_message-208111-54,81,1786809098.887261,AUSTRIA,RUSSIA,S1901M,Hey Russia! Any interest in working together? Do you want to bounce in Galicia?,81302,dialogue_model_get_model_pred-208111-61,80,79,1786809097.7484524,2,message_substring_of_model_output,message_history_orderhistorysincelastmovementphase_shortstate_pseudoorder_dialogue_chunk,True,cfdb5f03f32b33b7fe6ebd88cf318dcb00b8bfa556db01754f00c349b347ae03,912,exact_sender_recipient_phase_before_input,77,run_bilateral_search_with_conditional_evs-208111-59,1786809094.1372683,3.6111841201782227,A BUD - SER | A VIE - GAL | F TRI - ALB,0.88250883751103,A BUD - SER | A VIE - GAL | F TRI - ALB,0.8626722412606092,False,True,first_sender_order_line_after_state,AUSTRIA: A BUD SER; A VIE GAL; F TRI ALB,11,A BUD SER | A VIE GAL | F TRI ALB,True,1.0,True,True,False,False,/workspace/latent-reservations/notebook_outputs/17_cicero_exact_dialogue_input_visibility/20260815T154340Z/data/exact_dialogue_inputs/episode_0006_AUSTRIA_RUSSIA_cfdb5f03f32b33b7.txt
generate_message-208111-62,91,1786809113.3983543,TURKEY,RUSSIA,S1901M,"Hey Russia, just reaching out to establish comms! I'd be down for a classic juggernaut if you are!",82301,dialogue_model_get_model_pred-208111-69,90,89,1786809112.4618306,2,message_substring_of_model_output,message_history_orderhistorysincelastmovementphase_shortstate_pseudoorder_dialogue_chunk,True,7a93e4876fc67ddae7a6da71a7336bbc5382f65954b671b6dbfcb5fc37616c43,1123,exact_sender_recipient_phase_before_input,88,run_bilateral_search_with_conditional_evs-208111-68,1786809108.999716,3.4621145725250244,A CON - BUL | A SMY - CON | F ANK - BLA,0.8570724016122613,A CON - BUL | A SMY - CON | F ANK - BLA,0.8234673784888723,False,True,first_sender_order_line_after_state,TURKEY: A CON BUL; A SMY CON; F ANK BLA,11,A CON BUL | A SMY CON | F ANK BLA,True,1.0,True,True,False,False,/workspace/latent-reservations/notebook_outputs/17_cicero_exact_dialogue_input_visibility/20260815T154340Z/data/exact_dialogue_inputs/episode_0007_TURKEY_RUSSIA_7a93e4876fc67dda.txt
generate_message-208111-70,101,1786809122.6378498,TURKEY,ITALY,S1901M,"Hey Italy! I'm here to ask if you're planning on moving eastward at all. If you are, we can coordinate, if you're looking to the west, I think we can be friends and hopefully work together!",87513,dialogue_model_get_model_pred-208111-77,100,99,1786809121.0626557,2,message_substring_of_model_output,message_history_orderhistorysincelastmovementphase_shortstate_pseudoorder_dialogue_chunk,True,98eee2071d1daed450bc62780d204c0e0297fa80ff74541002b79951b9330d5b,757,exact_sender_recipient_phase_before_input,97,run_bilateral_search_with_conditional_evs-208111-75,1786809117.7360494,3.326606273651123,A CON - BUL | A SMY - CON | F ANK - BLA,0.7859761976088667,A CON - BUL | A SMY - CON | F ANK - BLA,0.8234673784888723,False,True,first_sender_order_line_after_state,TURKEY: A CON BUL; A SMY CON; F ANK BLA,10,A CON BUL | A SMY CON | F ANK BLA,True,1.0,True,True,False,False,/workspace/latent-reservations/notebook_outputs/17_cicero_exact_dialogue_input_visibility/20260815T154340Z/data/exact_dialogue_inputs/episode_0008_TURKEY_ITALY_98eee2071d1daed4.txt
generate_message-208111-78,113,1786809130.9532063,GERMANY,FRANCE,S1901M,"I'm definitely not moving there and hope you also won't be. I think there's some room for us to work together here, do you have any initial thoughts?",87722,dialogue_model_get_model_pred_many-208111-79,104,103,1786809123.0598903,2,message_substring_of_model_output,message_history_orderhistorysincelastmovementphase_shortstate_pseudoorder_dialogue_chunk,True,8b290d40159d2ec7883d91273b69f43310bfd0a156f64c51d12e6c06e3b47fa0,972,exact_sender_recipient_phase_before_input,65,run_bilateral_search_with_conditional_evs-208111-49,1786809085.3576477,37.702242612838745,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7508346302752265,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7404874957409524,False,True,first_sender_order_line_after_state,GERMANY: A BER KIE; A MUN RUH; F KIE DEN,12,A BER KIE | A MUN RUH | F KIE DEN,True,1.0,True,True,False,False,/workspace/latent-reservations/notebook_outputs/17_cicero_exact_dialogue_input_visibility/20260815T154340Z/data/exact_dialogue_inputs/episode_0009_GERMANY_FRANCE_8b290d40159d2ec7.txt
