state_id,game_index,fold,phase_name,power,counterpart,focal_location,option_a,option_b,condition,format,mode,activation_time,action_choice,chosen_order,action_valid,native_replay_passed,post_state_sha256,auditor_p_target,auditor_valid,analysis_target_is_B,exact_action_prompt_sha256,rendered_action_prompt_sha256,action_prompt_tokens,action_new_tokens,action_hit_token_ceiling,action_stopped_on_marker,auditor_new_tokens,auditor_hit_token_ceiling,auditor_stopped_on_marker,deliberation_valid,deliberation_new_tokens,deliberation_hit_token_ceiling,deliberation_stopped_on_marker,activation_index
cicero_g000_p014_ENGLAND,0,0,F1904M,ENGLAND,GERMANY,ENG,F ENG - LON,F ENG S F HOL - BEL,raw_direct_t0,raw,direct_t0,T0,A,F ENG - LON,True,True,fa1f7daed576d9e90284fe9a9cc29342dabc8f5cb6aef4535c908d86fab77f91,0.75,True,True,2c969efd46e657b79d8906bc5925e3345fa8ebebd71b8366d77d371277e8f417,ef622dae9253696ea67c93e4ab0edd4c5c36082a05d76bfd49bc6e283e8178f7,1118,10,False,True,9,False,True,,,,,0
cicero_g000_p014_ENGLAND,0,0,F1904M,ENGLAND,GERMANY,ENG,F ENG - LON,F ENG S F HOL - BEL,compact_direct_t0,compact,direct_t0,T0,A,F ENG - LON,True,True,fa1f7daed576d9e90284fe9a9cc29342dabc8f5cb6aef4535c908d86fab77f91,0.75,True,True,bc0db4937589214e0b560d3e9598217532846e0798502ee81bfea8f17a4b433e,89416befc07d1a797df4b810ed12266d5f99049bcb06dd79e0614229a91c8b9a,958,10,False,True,9,False,True,,,,,0
cicero_g000_p014_ENGLAND,0,0,F1904M,ENGLAND,GERMANY,ENG,F ENG - LON,F ENG S F HOL - BEL,raw_reason_t0,raw,reason_t0,T0,B,F ENG S F HOL - BEL,True,True,144dfdecdd7e5da22dbc8465985486ef7b55752cc57067a9fbfd8cf63487b404,0.75,True,True,44be04f89b18f8fb32b2f7982250652d157c55f7880cf2495b3ac4886d558ef2,1b4f81e114d8d3a87177dada68346baf4defcde8006592922fa847c79cf23d2e,1129,243,False,True,21,False,True,,,,,0
cicero_g000_p014_ENGLAND,0,0,F1904M,ENGLAND,GERMANY,ENG,F ENG - LON,F ENG S F HOL - BEL,compact_reason_t0,compact,reason_t0,T0,A,F ENG - LON,True,True,fa1f7daed576d9e90284fe9a9cc29342dabc8f5cb6aef4535c908d86fab77f91,0.3,True,True,2bc239b46d4af5d11d41cb8da9b180b4fb7d194313234bd213647c1b9a672ecb,f4444d2e9409edc3017d3a3a83db2fb29a14e4b5567aa7473d557afb7e18d568,969,10,False,True,15,False,True,,,,,0
cicero_g000_p014_ENGLAND,0,0,F1904M,ENGLAND,GERMANY,ENG,F ENG - LON,F ENG S F HOL - BEL,raw_deliberate_t1,raw,deliberate_t1,T1,A,F ENG - LON,True,True,fa1f7daed576d9e90284fe9a9cc29342dabc8f5cb6aef4535c908d86fab77f91,0.1,True,True,657a1931beb748904402a23b74ef39ae7871922497954c7b7bb65cf2ee767fd0,905af81a28715303eb6073a35b73a2e1629e3b84b78be7ded4958e0bae27f0ab,1613,10,False,True,9,False,True,True,480.0,False,True,0
cicero_g000_p014_ENGLAND,0,0,F1904M,ENGLAND,GERMANY,ENG,F ENG - LON,F ENG S F HOL - BEL,compact_deliberate_t1,compact,deliberate_t1,T1,B,F ENG S F HOL - BEL,True,True,144dfdecdd7e5da22dbc8465985486ef7b55752cc57067a9fbfd8cf63487b404,0.85,True,True,f30446bb5e500f2188798255db14bc14ada44db56f649d71658a404dd8b8296c,fb2648fa59407d3b6b71c1af5e4814614bd41e8e0f0c763b8c631a480ea3a95b,1214,12,False,True,9,False,True,True,241.0,False,True,0
cicero_g001_p003_ITALY,1,1,S1902M,ITALY,AUSTRIA,ION,F ION S A BUL - GRE,F ION - ADR,raw_direct_t0,raw,direct_t0,T0,A,F ION S A BUL - GRE,True,True,78c101817cdae3c52198dd893d885aab3065ace7f8aabf9aae26f5519ca9b3ce,0.3,True,True,a003c8237d78a898bfb86d95d02d6becc797d07336987cafe84126378ad92eee,9ab96182bff1a70f89121bf5571ea2490dd3db7ef7570ad27d842ba4dfa37286,1169,14,False,True,9,False,True,,,,,1
cicero_g001_p003_ITALY,1,1,S1902M,ITALY,AUSTRIA,ION,F ION S A BUL - GRE,F ION - ADR,compact_direct_t0,compact,direct_t0,T0,A,F ION S A BUL - GRE,True,True,78c101817cdae3c52198dd893d885aab3065ace7f8aabf9aae26f5519ca9b3ce,0.3,True,True,a0f9b7a2cf063e32c5133f4e5b5f4bcfa52e4db0094af9c3e8978f35f617ca52,9195085e4dfa0edd3ad428afd3360c992ad38de0989a2485838a46687d1ffb25,1002,14,False,True,9,False,True,,,,,1
cicero_g001_p003_ITALY,1,1,S1902M,ITALY,AUSTRIA,ION,F ION S A BUL - GRE,F ION - ADR,raw_reason_t0,raw,reason_t0,T0,A,F ION S A BUL - GRE,True,True,78c101817cdae3c52198dd893d885aab3065ace7f8aabf9aae26f5519ca9b3ce,0.3,True,True,99896fb5454f978dd347df24cdb7d55f9bcbb58a5b80f854ddc6f1bc98ea90be,becaf47d442452ce5a50ba5703fd71307e0b30d92ead96457514cd98b768eced,1180,192,False,True,174,False,True,,,,,1
cicero_g001_p003_ITALY,1,1,S1902M,ITALY,AUSTRIA,ION,F ION S A BUL - GRE,F ION - ADR,compact_reason_t0,compact,reason_t0,T0,B,F ION - ADR,True,True,4a0a6d940497b17ef0f2076bcc87ff093aa57a69aa01196a697cf611476f2acd,0.45,True,True,fc726fa9734d5c8771b4758416856c970a06a78affa638d9afb2b4c5fd2ba993,f6d40d3f1bf7afabfa40750655216dd987a80f303bf063a0f7b1c5801e8b695c,1013,216,False,True,242,False,True,,,,,1
