target_id,game_id,prompt_hash_match,parent_hash_match,forbidden_global_field_present,activation_shape_ok,activation_finite
avalon_full_000_m0_r0_p2,avalon_full_000,True,True,False,True,True
avalon_full_000_m1_r0_p3,avalon_full_000,True,True,False,True,True
avalon_full_000_m2_r0_p3,avalon_full_000,True,True,False,True,True
avalon_full_000_m3_r0_p3,avalon_full_000,True,True,False,True,True
avalon_full_000_m4_r0_p2,avalon_full_000,True,True,False,True,True
avalon_full_000_m4_r0_p3,avalon_full_000,True,True,False,True,True
avalon_full_001_m0_r0_p3,avalon_full_001,True,True,False,True,True
avalon_full_001_m3_r0_p3,avalon_full_001,True,True,False,True,True
avalon_full_001_m4_r0_p1,avalon_full_001,True,True,False,True,True
avalon_full_001_m4_r0_p3,avalon_full_001,True,True,False,True,True
avalon_full_002_m0_r0_p3,avalon_full_002,True,True,False,True,True
avalon_full_002_m1_r0_p3,avalon_full_002,True,True,False,True,True
avalon_full_002_m2_r0_p3,avalon_full_002,True,True,False,True,True
avalon_full_002_m3_r0_p3,avalon_full_002,True,True,False,True,True
avalon_full_003_m0_r0_p4,avalon_full_003,True,True,False,True,True
avalon_full_003_m1_r0_p4,avalon_full_003,True,True,False,True,True
avalon_full_003_m3_r0_p3,avalon_full_003,True,True,False,True,True
avalon_full_003_m3_r0_p4,avalon_full_003,True,True,False,True,True
avalon_full_003_m4_r0_p3,avalon_full_003,True,True,False,True,True
avalon_full_003_m4_r0_p4,avalon_full_003,True,True,False,True,True
avalon_full_004_m1_r0_p3,avalon_full_004,True,True,False,True,True
avalon_full_004_m2_r0_p3,avalon_full_004,True,True,False,True,True
avalon_full_004_m3_r0_p1,avalon_full_004,True,True,False,True,True
avalon_full_004_m3_r0_p3,avalon_full_004,True,True,False,True,True
avalon_full_005_m0_r0_p0,avalon_full_005,True,True,False,True,True
avalon_full_005_m1_r0_p1,avalon_full_005,True,True,False,True,True
avalon_full_005_m2_r0_p0,avalon_full_005,True,True,False,True,True
avalon_full_005_m3_r0_p1,avalon_full_005,True,True,False,True,True
avalon_full_005_m4_r0_p0,avalon_full_005,True,True,False,True,True
avalon_full_006_m1_r0_p0,avalon_full_006,True,True,False,True,True
avalon_full_006_m2_r0_p4,avalon_full_006,True,True,False,True,True
avalon_full_006_m3_r0_p4,avalon_full_006,True,True,False,True,True
avalon_full_007_m0_r0_p1,avalon_full_007,True,True,False,True,True
avalon_full_007_m1_r0_p2,avalon_full_007,True,True,False,True,True
avalon_full_007_m2_r0_p2,avalon_full_007,True,True,False,True,True
