message_event_sequence,pid,phase,sender,recipient,message,time_sent,pairing_mode,planner_event_sequence,planner_call_id,planner_lag_seconds,agent_action_count,agent_top_orders,agent_top_probability,agent_entropy,bp_top_orders,bp_top_probability,agent_bp_total_variation
14,206556,S1901M,ITALY,AUSTRIA,Hey Austria! Just wanted to check in and let you know I'm interested in working together. Do you have any preferences as to how we start?,60201,exact_sender_recipient_phase,3,run_bilateral_search_with_conditional_evs-206556-2,4.961148738861084,11,A ROM - APU | A VEN H | F NAP - ION,0.48836307231417025,1.5615838647060571,A ROM - APU | A VEN H | F NAP - ION,0.3122514439329085,0.17611162838126182
27,206556,S1901M,ITALY,GERMANY,Hey Germany! Just wanted to check in and let you know I'm interested in working together. Would you like to agree to keep Tyrolia empty?,71093,exact_sender_recipient_phase,22,run_bilateral_search_with_conditional_evs-206556-12,4.564282655715942,11,A ROM - APU | A VEN H | F NAP - ION,0.5063117607831636,1.558315976820988,A ROM - APU | A VEN H | F NAP - ION,0.3122514439329085,0.21245039395376045
40,206556,S1901M,FRANCE,GERMANY,Hey Germany! How do you want to handle Burgundy and Belgium?,75101,exact_sender_recipient_phase,33,run_bilateral_search_with_conditional_evs-206556-18,5.360295057296753,11,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.4178157269496583,1.71414447813275,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.4777230923442091,0.07094000164251818
53,206556,S1901M,AUSTRIA,ITALY,"Hey Italy, thank you for reaching out! I think the AI is the strongest alliance in the game, so I'm super down for working together. I'm always open to attacking Turkey if you're down for it?",79301,exact_sender_recipient_phase,48,run_bilateral_search_with_conditional_evs-206556-26,12.32983922958374,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.6976404323710153,1.112349375419757,A BUD - SER | A VIE - GAL | F TRI - ALB,0.6366221298419852,0.08986247720256879
66,206556,S1901M,FRANCE,ENGLAND,Hey England! How do you want to handle the channel? My preference is always to DMZ and then make moves elsewhere. Let me know!,80503,exact_sender_recipient_phase,57,run_bilateral_search_with_conditional_evs-206556-31,6.106893539428711,11,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.621310124219413,1.4130904505538358,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.4777230923442091,0.15286883261305656
79,206556,S1901M,TURKEY,RUSSIA,Hey Russia! What are your thoughts on the Jug?,82301,exact_sender_recipient_phase,78,run_bilateral_search_with_conditional_evs-206556-42,4.02740740776062,9,A CON - BUL | A SMY - CON | F ANK - BLA,0.8336710805153111,0.6241336682815469,A CON - BUL | A SMY - CON | F ANK - BLA,0.8237852643532738,0.026270980863651986
92,206556,S1901M,AUSTRIA,RUSSIA,"Hey Russia, good luck for the game! I'm a big fan of the AR, I think it's quite powerful. How would you feel about working together? I'm also ok with a bounce in Galicia?",89026,exact_sender_recipient_phase,89,run_bilateral_search_with_conditional_evs-206556-48,5.416555166244507,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.885274270049335,0.5310426593805562,A BUD - SER | A VIE - GAL | F TRI - ALB,0.8646888635698865,0.022404554554649885
105,206556,S1901M,RUSSIA,AUSTRIA,"Hey Austria, thanks for the message! I'm a big fan of the AR as well, and I think it's a better alliance than the Juggernaut for Russia. Would you be down to play something like that?

I'm happy to bounce in Gal, and if that works out I'd love to coordinate closely on other ways we could expand!",91226,exact_sender_recipient_phase,94,run_bilateral_search_with_conditional_evs-206556-51,7.158741474151611,12,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.6681987796906729,1.2827178629916842,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.7773673715059294,0.11604051500378126
118,206556,S1901M,AUSTRIA,TURKEY,"Hey Turkey, good luck for the game! Not sure how you feel about your neighbours, but I'm always open to working together. What are you thinking of doing with Russia?",94555,exact_sender_recipient_phase,117,run_bilateral_search_with_conditional_evs-206556-63,14.187351942062378,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.837585981639775,0.7004357069326557,A BUD - SER | A VIE - GAL | F TRI - ALB,0.8646888635698865,0.027102881930111428
131,206556,S1901M,FRANCE,ITALY,Hey Italy! I hope we can leave each other alone and focus elsewhere. Let me know if there's any way I can assist!,99422,exact_sender_recipient_phase,126,run_bilateral_search_with_conditional_evs-206556-68,5.3073248863220215,13,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.5634484305056813,1.538498570995437,A MAR S A PAR - BUR | A PAR - BUR | F BRE - MAO,0.4720940255984441,0.09640484238825556
144,206556,S1901M,RUSSIA,GERMANY,"Hey Germany, good luck for the game! I hope we can get off to a good start together. I would hope that you'd let me into Sweden in 01 - it will help us avoid tension in Scandinavia, and I'd be happy to coordinate closely with you on ways to move forward.",99803,exact_sender_recipient_phase,139,run_bilateral_search_with_conditional_evs-206556-75,18.507807970046997,12,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.7842348263634323,0.8414121968664525,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.8447165823912551,0.06336255870223399
157,206556,S1901M,AUSTRIA,GERMANY,"Hey Germany, good luck for the game! I'm a big believer in the central powers sticking together - let me know how your chats go with Russia, and if you ever decide to open east!",104327,exact_sender_recipient_phase,150,run_bilateral_search_with_conditional_evs-206556-81,5.7615063190460205,10,A BUD - SER | A VIE - GAL | F TRI - ALB,0.9273462271691388,0.3802932994274775,A BUD - SER | A VIE - GAL | F TRI - ALB,0.8646888635698865,0.06265736359925234
170,206556,S1901M,GERMANY,ITALY,Sure! I think both Austria and I are down to keep that a DMZ as well,108427,exact_sender_recipient_phase,165,run_bilateral_search_with_conditional_evs-206556-89,6.759396314620972,11,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7539696243650679,0.8393376745302967,A BER - KIE | A MUN - RUH | F KIE - DEN,0.7612982152615386,0.018814975352474537
183,206556,S1901M,RUSSIA,ENGLAND,"Hey England, good luck for the game! I hope we can get off to a good start together - are you happy to agree to no armies in Scandinavia? I'll see how my relationship with Germany shapes up, but if you don't open to the Norwegian Sea I'm happy to avoid a northern opening in exchange for you using a fleet to capture Norway instead of an army.",108557,exact_sender_recipient_phase,174,run_bilateral_search_with_conditional_evs-206556-94,7.19353723526001,12,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.8580926863295623,0.6391502252130453,A MOS - UKR | A WAR - GAL | F SEV - BLA | F STP/SC - BOT,0.8447165823912551,0.017831818827856716
